,Reviews
1383,"Курс просто великолепный, самый объемный и полезный из всех которые я пока успел пройти на степике! Мои навыки существенно улучшились после прохождения курса. Алексею большое спасибо за его старания!"
1384,"Объясняют одно (порою слишком непонятно), а задачи совершенно на другое. 90% задач решалось поиском материалов в других источниках. Оставшиеся 10% задач не решаются вовсе. Формулы для решений даны мягко говоря не все."
1385,Годно
1386,Мне сравнивать пока не с чем..но всё очень нравится..понятно доходчиво интересно..это практически первое знакомство с программированием..а за неделю курса..усвоил базовый синтаксис и основы программирования..научился самостоятельно решать непростые задачки..разными способами..
1387,"Отличный курс, для желающих начать изучать DS - самое то."
1388,Все очень круто
1389,Для повторения основ курс отличный.
1390,"Анна, спасибо за Ваши труды! Сам освежил знания чтоб двигаться дальше, и буду рекомендовать дочери перед ОГЭ. Всё очень доходчиво, и без лишней воды. Материал усваивается легко, задачи составлены очень интересно - заставляют быть всегда внимательным."
1391,спасибо большое за информацию и обучение
1392,"Просто и доступно объясняется сложное. Возникали, конечно, некоторые вопросы по химическим элементам в задании, но все быстро решилось. Радует скорость ответов автора на запросы."
1393,"Отличный курс, хорошо объясняются основные понятия, задачи хорошо подобраны."
1394,"Самый лучший курс по Python! С вами никто не сравнится! Думаю, что другой настолько интересный и понятный курс еще не скоро придумают, если придумают вообще. Огромное вам спасибо за работу!"
1395,Класс
1396,Все круто
1397,"Спасибо за отличный курс! Жаль, что не было таких вкусностей как случайных процессов, цепей Маркова ... в остальном все просто прекрасно. Тем кто планирует записаться на курс очень стоит обратить внимание на отношение (количество выданных сертификатов)/(число записавшихся) - курс весьма спортивный =)"
1398,норм)
1399,прекрасный и проработанный курс
1400,"Классный курс, спасибо большое!"
1401,Отлично!
1402,"Курс очень понравился. Море полезной информации, легкая подача материала. Очень много интересных заданий. Спасибо огромное за этот курс его создателям."
1403,Супер.
1404,"Хороший курс, не хватило практических задач."
1405,"использую в качестве закрепления информации после самостоятельного изучения. Доходчиво объясняют, жаль что курс заканчивается на алкадиенах."
1406,"Неплохо для тех, кто сдаёт ЕГЭ, особенно у кого мало времени."
1407,"Хороший курс, объясняет базу."
1408,"Очень полезный и информативный курс. Лектор объясняет интересно, а самое главное понятно"
1409,"Будьте здоровы, авторы курса! Просто великолепный курс, не уступающий платным. Прохожу его одновременно с прочтением Лутца, вот-вот осилю первый том."
1410,"Прекрасный курс и по C#, и по программированию в целом (у beegeek плохих курсов и не может быть), который так же имеет продолжение. Жду продолжение курса по Python именно от вашей команды"
1411,"Плохо только одно - мной уже пройдены все курсы Александра Храброва и других на Stepik больше нет. Ну а по качеству: что этот курс, что курсы математического анализа на уровне института. Сложные, но позволяют понять материал на 100%."
1412,Отличный курс. Очень доходчиво и емко разбираются сложные темы. Главное проходить вдумчиво.
1413,Отличный курс
1414,"Хотелось бы сказать ОГРОМНОЕ СПАСИБО, всем создателям этой платформы и этого курса и, конечно же преподавателю, за очень доступное преподнесение информации, профессионализм и удобный интерфейс."
1415,Дуже гарний курс. Дякую!
1416,годно
1417,Курс прекрасен
1418,"Отличный курс! Интересные задачи, где надо думать. Динамично рассказанный материал. Хорошая отзывчивость авторов на комментарии."
1419,"Курс хороший, но для понимания некоторых действий лектора новичку лучше прочитать одну-две небольшие книжки по Python (например новичку может быть непонятно зачем нужен оператор ""#"" и для чего ""комментировать"" строки, и придется гуглить отдельно)"
1420,Отличный курс. Можно проходить параллельно с другими курсами по теме. Хотелось бы больше сложных заданий.
1421,"Спасибо, оличный курс, я узнал много нового."
1422,"Отличный курс! Учит внимательности. Задания хорошие, материал изложен очень емко. Рекомендую"
1423,Прекрасный курс
1424,"В сравнении с некоторыми другими бесплатными курсами по Python на Stepik, этому можно поставить крепкую 3,5. Курсу сильно не хватает структурированности и последовательной подачи материала от простого к сложному. Большинство вопросов из-за подачи материала в формате видеоуроков затрагивается очень поверхностно - это нормально для беглого знакомства с миром программирования, но недостаточно для полноценного погружения. Очень опечалила заключительная треть курса, в которой для меня нашлось много еще не изученных тем, разобрать и закрепить которые ввиду отсутствия практических заданий становится невозможным."
1425,"Хороший курс, перспективный, но разделов мало. К тому же автору стоит поработать над текстом."
1426,"прослушал только первый блок, но уже все нравится. Все четко!"
1427,Хороший курс
1428,"Хороший курсы для совсем начинающих или для людей никогда не использовавших питон в своей жизни. Позволяет познакомиться с синтаксисом языка и его основами. Не стоит ожидать рассмотрения глубоких концепций, но для начала очень даже не плохой курс. Единственное почему убрал звезду - за последний модуль, где почти все видео это чтение блин документации просто с минимумом примеров и заданий. Вообще хотелось бы побольше заданий. Но автору все равно спасибо, хороший курс."
1429,Спасибо Анна!!! Вы прекрасный педагог.
1430,"Отличный курс, Карпов топ! (И вообще зайка)"
1431,Отличный курс.
1432,Просто супер!!!
1433,"Все просто супер) очень понятные объяснения, все школьные пробелы заполнены благодаря этому курсу)) побольше бы таких 😍"
1434,Спасибо большое за такое объяснение! Курс очень понравился)
1435,Отличный курс. Помог разобраться во многом.
1436,Хороший и содержательный курс. Спасибо.
1437,хорошо
1438,Отличный курс!
1439,"Отличный курс по основам языка. Все основные моменты учтены. Концепции объясняют доступно. Из минусов только: условия некоторых заданий непонятно описаны и зачем-то иногда закрывают часть уже существующего кода в задачах. Думаю, его видеть было бы полезно."
1440,Классика!
1441,"Как ученику 10 класса(Уже 11), курс хорош повторением всей темы года и её развитием)"
1442,"Данный курс порадовал подробным разбором теории, интересными задачами разной сложности. Особо приятным бонусом является возможность решать задания на разных языках программирования, выбор которых просто огромен."
1443,"Замечательный курс для подготовки к 17 заданию! В нём очень подробно разобраны все виды задач, которые могут встретиться на экзамене. Также присутствует большое кол-во упражнений для самостоятельного решения :-)"
1444,Очень крутой курс. Креативные задачи. Спасибо ребятам.
1445,Отличный курс для введения в область)
1446,👍
1447,"Курс очень хороший, его можно даже назвать экпресс-курсом. Преподаватель говорит мало, но ёмко. Темы действительно нужные и для того, чтобы освежить знания, и для того, чтобы узнать что-то новое. Формат небольшого тестового контроля после каждого урока очень хорош и удобен, с его помощью можно закрепить все полученные знания. Организаторы постарались на славу, спасибо им.)"
1448,очень хороший курс
1449,"Очень познавательный, интересный, доступный к понимаю курс. Большое спасибо!"
1450,"Иногда задание бывают не совсем понятные. Но это скорее из-за того что я тупой, и не понимаю их😁"
1451,спасибо
1452,"Полезный курс. Понравилось, что актуализируются имеющиеся знания, есть отсылка к иным источникам, что дает возможность не перегружать курс, но для тех, кто хочет на тему шире посмотреть дается ссылка на дальнейшие источники"
1453,Спасибо!
1454,Очень хороший курс! Спасибо огромное!
1455,"Интересный курс, касающихся многих важных в программировании разделов математики. Приятной неожиданностью были конспекты в начале каждого модуля."
1456,Курс самое то для первичного знакомства с алгоритмизацией и решения прикладных задач
1457,"Отличный курс. Расширил мои базовые знания. До профессионала тут конечно очень далеко, но курс может позволить определить дальнейшую траекторию развития, а это важно. Спасибо!"
1458,"Заявленное время изучения - 4 часа. Если вы, как я и, конспектируете лекции, читаете дополнительную информацию по сложным темам и стремитесь пройти все задания на 100%, то этого времени вам точно не хватит. У меня ушло 20 академических часов (45 минут занятие, 15 - перерыв) на прохождение всего курса."
1459,Кайфовый курс. Сиди и чиль под чаёк
1460,"Мне понравилось содержание курса, его построение. Замечательный лектор. Хорошо объясняет - слушать одно удовольствие. Можно, конечно, найти к чему ""придраться"", но для бесплатного курса такой уровень - это очень и очень хорошо."
1461,"Начал смотреть курс, чтобы структурировать уже имеющиеся знания по C++, и для этой цели курс хорошо подходит, так как обращает внимания на нюансы либо в лекциях, либо, что гораздо чаще, в заданиях. И если ваша цель, именно структурировать знания, то курс будет полезен. Но вот если вы только начинаете изучать C++, или что ещё хуже, только начинаете изучать программирование, лучше поищите другой курс, здесь вам будет сложновато, да и ещё, предполагаю, не особо успешно, потому что практических заданий, которые так важны при изучении, в курсе достаточно мало."
1462,Сложно
1463,Про лямбду хорошо зашло. В этом месте решил поставить оценку.
1464,Отличный курс для начинающих аналитиков Обычение супер!!!
1465,Вы вряд ли найдёте бесплатный курс по Go лучше.
1466,отличный курс
1467,Хороший плеер
1468,Очень круто!
1469,"Очень качественно составлен курс. Рассмотрены все типовые варианты. Лекции просто и доходчиво объясняют материал, ведь в курсе есть как видео так и текстовые лекции. В курсе ОГРОМНОЕ количество практики, что очень важно для подготовки к экзамену. Благодарен команде курса за такой курс, ведь он абсолютно бесплатный. Команда курса быстро отвечает абсолютно на все возникшие вопросы."
1470,Великолепно!
1471,"Для школьников замечательный курс, всем рекомендую! Да, своим ученикам дала ссылку, надеюсь, воспользуются. Спасибо!"
1472,Неплохо
1473,"Мне очень понравился данный курс, всем, кто начинает познавать химию, очень советую"
1474,"Курс простой, хорошо выполнен и преподаватель отвечает на заданные вопросы."
1475,"Прекрасный курс, помогает систематизировать и углубить понимание статистики. Всё очень наглядно и доступно, указаны дополнительные источники."
1476,"Отличный курс для начинающих изучение C++. Простые и понятные задачки, объясняющие основные возможности данного языка программирования. Объяснение краткие и понятные"
1477,Интересные задачи! Спасибо!
1478,"В два или даже в три раза короче первого курса. Очень много вычислений интегралов. Курс скорее не по теории вероятностей, а по математическому анализу."
1479,"Спасибо. Хороший курс для того чтобы восстановить знания по хим формулам, уравнениям, задачам."
1480,"Отличный курс! Но я гуманитарий, поэтому 4 звезды."
1481,"Это самый лучший курс по решению текстовых задач для ЕГЭ и ОГЭ по математике. Есть видео и конспект в виде текста, что очень удобно. На возникающие вопросы по решению задач Тимур отвечает оперативно. Рекомендую этот курс всем, кто хочет понять и научиться решать эти задачи. А Тимуру большое спасибо!"
1482,"Уважаемые авторы курса! Большое спасибо за проделанную Вами работу. Являясь биологом по образованию, с удовольствием прослушал курс, освежил знания и получил много новых. Курс логично построен, содержателен, материал прекрасно разъяснен и великолепно иллюстрирован. Проверочная часть тоже на высоком уровне. Отдельные недочеты совсем незначительны. Из пожеланий на будущее - был бы очень интересен и полезен курс по молекулярной генетике. С уважением и благодарностью, Василий Пехов"
1483,"Все понятно, доступно."
1484,Очень нужныйи полезный курс!
1485,"Для опытных программистов курс нормальный. Для тех же, кто рассчитывает по этому курсу научиться программированию, курс плохой. В материалах курса слишком много допущений и недосказанности, а формулировка и проверка некоторых практических заданий оставляют желать лучшего."
1486,"Добавили бы ещё задания для Python, цены бы не было."
1487,Хочу выразить огромную благодарность создателям курса за экскурс в мир статистики и аналитики)
1488,Спасибо! Курсы очень хорошие.
1489,"Спасибо за классный курс, Иосиф!"
1490,м
1491,"Про сам курс я ничего толкового сказать не смогу - я это все и так знал, просто хотел пробежаться по курсу. А вот про автора — скажу. Это, если не лучший, то один из лучших лекторов, что я встречал. Повествование, стиль, оформление, подача - все настолько просто, гладко и в целом хорошо излагается, что начинаешь задумываться ""это я уже и так знал, или только что понял?"". В общем, за автору однозначно 5. Жаль нельзя 6/5 поставить."
1492,"Благодарю автора за такой данный курс. Структурированная подача, изложены основы на доступном уровне понимания. Немного больше практики добавить с интересными нестандартными кейсами было бы интересно."
1493,полезный курс
1494,Очень достойный курс по молекулярной биологии и генетике!
1495,"В курсе много задач, что хорошо. В целом всё хорошо"
1496,анатомия и зоология🔥🔥🔥
1497,Хороший курс. Отлично подходит для начала изучения Анализа данных
1498,Очень сложный уровень! Спасибо всем за курс! =) Интересный курс и заставляет напрячь мозг)))
1499,"Огромное спасибо за курс!!! Разобраны различные типы заданий со всеми необходимыми пояснениями. Отличный курс, как и все остальные!!!!!"
1500,"Очень доступно изложен материал, все только самое необходимое для работы."
1501,Неплохой короткий курс для алгебры первой части
1502,"Замечательный курс! Большое Вам спасибо за проделанную работу - хотелось бы чуть больше разобрать современные методики статистического анализа, использующих ранжирование переменных."
1503,"Ура! Я сделал это. Для 33х летнего старика, который напроч забыл математику это было сложно. Потратил 4 месяца ежедневных занятий. Спасибо Тимур за ваш гиганский труд. Спасибо что помогали в комментариях. Это отличный курс. Надеюсь у меня получится сдать егэ и поступить в универ на заочку."
1504,Спасибо за курс
1505,"Хороший курс для начинающих в СИ! Много задачек. И совсем простых, и заставляющих крепко подумать."
1506,было интересно
1507,"Классный курс! Всё просто, быстро и по сути! Очень понравилось, что видео по 1-5 минут, очень просто для понимания"
1508,"Нужно отдать должное автору, он сделал отличный проект для заработка на ютубе с очень хорошим объяснением материала. Но курс на степике недоработанный, выполнен исключительно для рекламы своего канала. Очень сырые задания. Тесты к заданиям - просто отмазка. А под конец вообще заданий почти нет, только ютуб. Пожелания - больше заданий и проработать тесты к этим заданиям. Хочешь заработать - нужно поработать:)"
1509,"Из плюсов - задач много, хотя они неравномерно распределены по темам . Где-то густо, а где-то пусто. Некоторые важные темы не рассмотрены совсем. Встречались некорректные решения, которые тем не менее робот пропускал как верные. Форум плохо модерируется - присутствуют готовые решения и ненормативная лексика. В целом курс позволяет освежить знания."
1510,"Для новичков самое то. У сложных задач есть видео с подробным решением. Автор проделал огромную работу за что ему большое, человеческое спасибо.))"
1511,"Я прослушала несколько лекций, курс нравится тем, что преподаватель излагает сложную математику понятным языком, что рассмотрены все темы, необходимые для сдачи ЕГЭ. Очень понравилось наличие конспектов, домашних заданий и решений к ним к каждой лекции."
1512,"Отличный курс! Особенно ценна возможность делиться знаниями в комментариях к заданиям, очень много идей можно почерпнуть, обсуждая решения с сообществом."
1513,"Большое спасибо! Очень подробный курс с достаточным количеством проверочных вопросов и практики, чтобы знания не пропали даром. Спасибо организаторам!"
1514,Не всегда хватает более подробных объяснений
1515,хКурс хорошо поделен на отрезки. Очень много полезных комментариев.
1516,Отличный вводный курс. Рекомендую
1517,Юным социологам в помощь)
1518,"Лучший курс для тех, кто первый раз в жизни начал программировать и ничего не понял на первом курсе специализации МФТИ и Яндекса."
1519,"В целом для начинающих хорошо, но есть некоторые замечания: 1) составители курса плохо владеют письменным русским языком; 2) в заданиях курса встречаются неоднозначные постановки задачи, порой приходится разбираться в примерах входных и выходных данных, что говорит о неумении составителей курса чётко формулировать свои мысли; 3) встречается мешанина из ""русских"" и ""английских"" названий переменных в примерах и требуемых ответов: ""stepen"", ""pokazatel"", ""number"", ""digit"", ""YES"", ""NO"", ""зима"", ""весна"", ""лето"", ""осень"", ""prime"", ""composite"" и т.п.; 4) неясно как попавшая в курс для начинающих ""олимпиадная"" задача 5.11.9 на оптимизацию времени решения."
1520,:--)
1521,Замечательный курс. Я в восторге. Большое спасибо за полезную работу!!!
1522,5-5
1523,"Хороший курс, но непонятно почему есть он и ликбез, так как одно и тоже, но там еще две подтемы линала."
1524,Отличный курс! Всё разложено по полочкам. Информация подана легко и понятно.
1525,"Спасибо команде курса! Моё почтение и восхищение:) Курс замечательно структурирован (все логично!), очень доступно подан, исключительно грамотно разбит на короткие и информационно ёмкие видео, перемежающиеся с заданиями. Часть заданий очень простая, чтобы не отчаялись, часть требует хорошенько подумать - тесты не простая формальность, а все же закрепление знаний. Помимо наполнения курс был полезен как пример грамотной педагогической работы: неперегруженные конкретные пояснения точных схем. Ни один учебник так не может, всегда есть перегруз частностями, которые на первых порах изучения предмета очень ""зашумляют"" воспринимаемый материал. Очень довольна, что нашла время пройти этот курс. Буду использовать и рекомендовать!"
1526,"Курс хорош для тех, кого в школе не учат вообще решать задачи, и у кого проблемы с задачами первой части У меня именно такая ситуация, поэтому для меня курс был весьма полезен, я поняла алгоритм"
1527,Отличный курс
1528,Отличный курс. Расставляет все по своим местам.
1529,"Хороший курс. В школе осваивал С++ и Паскаль, но они вообще не пошли, я долгое время думал, что кодить – вообще не моё, а тут как нож сквозь масло лихо пронёсся через весь курс, не испытывая особых затруднений. Теории достаточное количество, практических задач тоже, и, решая некоторые, приходится нехило напрячься. Короче, для начала – самое оно, хороший старт. Авторы, моё почтение, пешите исчо."
1530,"Мне был интересен этот курс! Для моего уровня развития это идеальный формат) Он вернул меня в замечательные студенческие годы) Приятно осознавать, читая комментарии к занятиям, что так много умных, замечательных людей!) Лектору отдельное спасибо за доступную к пониманию подачу материала без лишних «э», «а» и других членораздельных звуков!"
1531,"Хороший курс, но этого мало, к концу курса перестал понимать о чем говорят (дело во мне) :)"
1532,"Курс хороший, но нужно еще поработать над последовательностью изложения материала и соответствием вопросов изложенному материалу."
1533,Отличное введение в статистику
1534,"Курс очень классный. Спасибо большое его создателям. По каждой теме дается короткая теоретическая справка - только самое необходимое (и достаточное), чтобы решить задачи по этой теме. И задачи подобраны очень удачно - их действительно интересно решать. При возникновении трудностей, можно посмотреть подсказку в комментариях или задать там же вопрос - команда курса отвечает в течение суток (лично мне отвечал Иосиф, за что ему отдельное большое СПАСИБО)."
1535,"На текущий момент, заверши несколько разделов, могу заявить что понравилось и не очень. Ранее никогда не изучал язык. Вначале все очень просто, и даже потренироваться не с чем, и потому мне очень понравились промежуточные тесты. Они позволяют лучше запомнить и усвоить материалы"
1536,Отличный курс. Хорошо объяснены темы. Также хорошо развита практика кодировки для учащихся. Благодарю курс за такие уроки💛
1537,Очень полезный и насыщенный курс!
1538,"Неплохой курс, но большинство заданий можно решить только после поиска дополнительной информации в Сети"
1539,"Для меня, гуманитария с низкой продолжительностью внимания, темы 4 и 5 оказались весьма непростыми. Помогли лекции на ютубе, комментарии и, конечно, медленный процесс решения задач, которые подобраны здесь просто превосходно. Благодарю авторов курса за отличную работу! Отдельно благодарю Анну Владимировну за обратную связь!"
1540,"Прекрасный курс, всё по факту и без лишней воды. Буду проходить следующие части)"
1541,Отличный курс
1542,"Вроде, да"
1543,интересно
1544,"+ Быстро и лаконично даётся максимум рабочих инструментов за минимум времени; + Много практики, а ничто не научит Вас писать код, кроме как написание кода; + Есть несколько весьма увлекательных задач, над которыми интересно подумать и попытаться прорешать разными методами или через использование разных структур данных; + Можно находить идейные подсказки в комментариях, при этом без жёстких спойлеров по решению; + После правильно сданного решения можно посмотреть варианты решения других участников курса и почерпнуть новые подходы или новые инструменты, расширяет кругозор; + Модераторы от Бога, здоровья и счастья таким людям; + Возможность ставить просмотр видеоурока на x2, а при желании есть расшифровка всего материала в виде текста; - Маловато рассказано про существующие типы данных, их особенности, сколько памяти выделяется, какие диапазоны; - Нет раздела про операторы, так что про бинарные операторы и единственный тернарный оператор новичкам стоит почитать отдельно; - Тема ""Действительные числа"" стоит между темами про циклы и немного выбивается из колеи сюжетного повествования, было бы комфортнее проходить последовательно ""Целый числа"" -> ""Действительные числа"" -> ""if"" -> ""while""...; - Ни слова про конструкцию do while, хотя она неплохо подходит для решения некоторых задач раздела ""Цикл while""; - Про указатели, ссылки и разыменование буквально пару упоминаний без толкового разъяснения; - Не рассказано про перегрузку операторов, хотя они, по сути, используются; - Не рассказано про методы класса, хотя они тоже, по сути, используются из стандартных библиотек; - Не рассказано про итераторы; В целом, даётся много инструментов для той или иной обработки, а что у этих инструментов под капотом, как они организованы, как работают, почему так, что в них зашито - это всё материал для самостоятельного поиска. Вот тебе дали контейнер, он работает вот так-то, а почему он так работает и какие у него тонкости - иди сам найди, если интересно. Но, по сути, все минусы - это именно моя хотелка того, чтобы вся необходимая и исчерпывающая информация находилась в одном месте, чтобы не тратить время и не искать в других местах самостоятельно. 5/5"
1545,"Ели как дошел до 20 лекции.Все объяснятеся очень нудно и сухо. Автор ,как я понял,хоть и знает сам язык,но не очень уверенно себя чувствует в нем. Курс точно не для новичков которые вообще ничего не знают про программирование. Жалко что купил этот курс"
1546,Отличный курс и по сей день
1547,отличный курс!
1548,"Хороший курс, всем рекомендую"
1549,"Лучший бесплатный курс по моему мнению. Все доступно, с примерами, задачи сложные, местами хочется опустить руки, но в итоге с школьными знаниями об алгоритмизации и нулевыми знаниями в предлагаемых языках освоил питон на базовом уровне. Следующий курс хочу пройти именно по питону от этой же школы! Отдельное спасибо Иосифу за поддержку в комментариях!"
1550,"Отличный курс, за счёт него теперь щёлкаю 12 задание как орешки 👌."
1551,"Хороший курс, в меру тяжёлый, проходится за неделю. Очень приятный преподаватель, отдельно уже посмотрел много видео с ним. Жаль только, что конспект не такой подробный, как хотелось бы. Боюсь, что многое просто забудется и восстановить в памяти будет сложно."
1552,Хороший курс для начинающих. Много практики и достаточно теории.
1553,"Видео качественные. Материал подается неплохо, приводятся хорошие примеры и аналогии. Однако из минусов: местами хромает формулировка задач, причем существенно. Комментарии не чистятся от всякого мусора в виде ответов. Самый главный минус лично для меня - некоторые видео недоступны без оплаты. Я не против заплатить за курс, тем более такой неплохой. Но для меня удобнее заплатить и пользоваться ресурсом на одной платформе, чем постоянно бегать по различным сайтам. Сделайте курс платным, выложите все задачи и откройте доступ ко всем видео. Я буду вне себя от счастья. Хотя возможно у автора есть свои причины так поступать, так что за это оценку не снижу."
1554,Очень хороший курс по математике для повторения 5 класса
1555,Спасибо за курс.
1556,"Нечасто я пишу отзывы, но этот курс того заслуживает! Шикарный курс по питону, без лишних слов, он стоит потраченного времени. Большое спасибо авторам!"
1557,"отличный курс, заставляет думать и запоминается пройдений материал!!!!"
1558,"Задачи отличные! Весь материал разжевывается. Приятно, что многое взято из Coursera"
1559,"Курс очень понравился! Cтатистику никогда не изучал, но данный курс помог мне разобраться с основами и перестать бояться формул! Подача материала преподавателем заслуживает отдельной благодарности! Советую всем кто хочет начать разбираться в данной области но не определился с чего начать."
